route,year,count,latitude,longitude
35,2007,1,45.8641277,-69.2876059
35,2010,1,45.8641277,-69.2876059
38,1996,1,45.4493167,-69.2876059
46,2001,2,46.600227,-69.2876059
55,1993,2,47.2593135,-69.2876059
55,1994,2,47.2593135,-69.2876059
55,1995,2,47.2593135,-69.2876059
55,1996,3,47.2593135,-69.2876059
55,1997,2,47.2593135,-69.2876059
55,1998,4,47.2593135,-69.2876059
55,1999,1,47.2593135,-69.2876059
55,2000,4,47.2593135,-69.2876059
55,2001,1,47.2593135,-69.2876059
55,2002,1,47.2593135,-69.2876059
55,2005,3,47.2593135,-69.2876059
55,2006,1,47.2593135,-69.2876059
56,1995,1,46.5514025,-69.2876059
56,1997,2,46.5514025,-69.2876059
56,1998,8,46.5514025,-69.2876059
56,1999,8,46.5514025,-69.2876059
56,2000,2,46.5514025,-69.2876059
56,2001,6,46.5514025,-69.2876059
56,2002,2,46.5514025,-69.2876059
56,2003,1,46.5514025,-69.2876059
56,2005,1,46.5514025,-69.2876059
56,2007,1,46.5514025,-69.2876059
56,2008,1,46.5514025,-69.2876059
58,1994,3,46.7135253,-69.2876059
58,1995,5,46.7135253,-69.2876059
58,1996,5,46.7135253,-69.2876059
58,1998,5,46.7135253,-69.2876059
58,1999,7,46.7135253,-69.2876059
58,2000,8,46.7135253,-69.2876059
58,2001,7,46.7135253,-69.2876059
60,1994,1,47.3177807,-69.2876059
60,1995,1,47.3177807,-69.2876059
60,1999,1,47.3177807,-69.2876059
60,2003,1,47.3177807,-69.2876059
60,2005,2,47.3177807,-69.2876059
60,2006,2,47.3177807,-69.2876059
60,2007,1,47.3177807,-69.2876059
60,2009,1,47.3177807,-69.2876059
134,2016,6,45.9036347,-69.2876059
146,2013,3,46.619,-69.2876059
147,1997,1,46.4922497,-69.2876059
147,1998,2,46.4922497,-69.2876059
147,1999,7,46.4922497,-69.2876059
147,2000,6,46.4922497,-69.2876059
147,2001,6,46.4922497,-69.2876059
147,2002,5,46.4922497,-69.2876059
147,2003,8,46.4922497,-69.2876059